acquisition_year,category_id,category_name,acquisition_value
2015,1,เครื่องคอมพิวเตอร์,22000
2015,2,เครื่องพิมพ์,7500
2015,3,โต๊ะทำงาน,4500
2015,4,เก้าอี้,2800
2015,5,เครื่องปรับอากาศ,32000
2015,6,กล้องวงจรปิด,12000
2016,1,เครื่องคอมพิวเตอร์,23000
2016,2,เครื่องพิมพ์,7800
2016,3,โต๊ะทำงาน,4700
2016,4,เก้าอี้,2900
2016,5,เครื่องปรับอากาศ,33500
2016,6,กล้องวงจรปิด,12500
2016,7,เครื่องถ่ายเอกสาร,45000
2017,1,เครื่องคอมพิวเตอร์,23500
2017,2,เครื่องพิมพ์,8000
2017,3,โต๊ะทำงาน,4900
2017,4,เก้าอี้,3000
2017,5,เครื่องปรับอากาศ,34000
2017,6,กล้องวงจรปิด,13000
2017,7,เครื่องถ่ายเอกสาร,46000
2017,1,เครื่องคอมพิวเตอร์,24000
2018,1,เครื่องคอมพิวเตอร์,24500
2018,2,เครื่องพิมพ์,8200
2018,3,โต๊ะทำงาน,5100
2018,4,เก้าอี้,3100
2018,5,เครื่องปรับอากาศ,35500
2018,6,กล้องวงจรปิด,13500
2018,7,เครื่องถ่ายเอกสาร,47500
2018,1,เครื่องคอมพิวเตอร์,25000
2019,1,เครื่องคอมพิวเตอร์,25500
2019,2,เครื่องพิมพ์,8500
2019,3,โต๊ะทำงาน,5300
2019,4,เก้าอี้,3200
2019,5,เครื่องปรับอากาศ,36500
2019,6,กล้องวงจรปิด,14000
2019,7,เครื่องถ่ายเอกสาร,49000
2019,1,เครื่องคอมพิวเตอร์,26000
2020,1,เครื่องคอมพิวเตอร์,26500
2020,2,เครื่องพิมพ์,8800
2020,3,โต๊ะทำงาน,5500
2020,4,เก้าอี้,3300
2020,5,เครื่องปรับอากาศ,38000
2020,6,กล้องวงจรปิด,14500
2020,7,เครื่องถ่ายเอกสาร,50500
2020,1,เครื่องคอมพิวเตอร์,27000
2021,1,เครื่องคอมพิวเตอร์,28000
2021,2,เครื่องพิมพ์,9000
2021,3,โต๊ะทำงาน,5700
2021,4,เก้าอี้,3400
2021,5,เครื่องปรับอากาศ,39500
2021,6,กล้องวงจรปิด,15000
2021,7,เครื่องถ่ายเอกสาร,52000
2021,1,เครื่องคอมพิวเตอร์,28500
2022,1,เครื่องคอมพิวเตอร์,29000
2022,2,เครื่องพิมพ์,9300
2022,3,โต๊ะทำงาน,6000
2022,4,เก้าอี้,3600
2022,5,เครื่องปรับอากาศ,41000
2022,6,กล้องวงจรปิด,15500
2022,7,เครื่องถ่ายเอกสาร,54000
2022,1,เครื่องคอมพิวเตอร์,29500
2023,1,เครื่องคอมพิวเตอร์,30000
2023,2,เครื่องพิมพ์,9500
2023,3,โต๊ะทำงาน,6200
2023,4,เก้าอี้,3700
2023,5,เครื่องปรับอากาศ,42500
2023,6,กล้องวงจรปิด,16000
2023,7,เครื่องถ่ายเอกสาร,55500
2023,1,เครื่องคอมพิวเตอร์,30500
2024,1,เครื่องคอมพิวเตอร์,31000
2024,2,เครื่องพิมพ์,9800
2024,3,โต๊ะทำงาน,6400
2024,4,เก้าอี้,3800
2024,5,เครื่องปรับอากาศ,44000
2024,6,กล้องวงจรปิด,16500
2024,7,เครื่องถ่ายเอกสาร,57000
2024,1,เครื่องคอมพิวเตอร์,32000
